id,name,address,lat,lng,hours,quick,slow
1206,현대3차 아파트,제주특별자치도 제주시 용담이동 619,33.51091046,126.5102269,24시간,1,0
1209,화북1 아파트,제주특별자치도 제주시 화북일동 10-1,33.52025588,126.5750572,24시간,1,0
1152,건입현대 아파트,제주특별자치도 제주시 건입동 940-3,33.51684414,126.5346068,24시간,1,0
1154,노형 대림 아파트,제주특별자치도 제주시 노형동 1290-1,33.48771141,126.4803157,24시간,0,2
1158,노형해든빌,제주특별자치도 제주시 노형동 920-13,33.48291997,126.4815166,24시간,0,2
1159,도남1차e-편한세상,제주특별자치도 제주시 도남동 800,33.49396,126.521533,24시간,1,0
1167,삼부비치 아파트,제주특별자치도 제주시 삼양이동 2113-6,33.52377271,126.5858077,24시간,0,2
1163,방선문2차빌리지,제주특별자치도 제주시 아라이동 930,33.47900553,126.5508564,24시간,0,2
1153,금천뜨래별,제주특별자치도 제주시 아라이동 955,33.4799741,126.5531962,24시간,0,2
1166,봉개블루힐,제주특별자치도 제주시 봉개동 1317,33.48675357,126.5996513,24시간,0,2
1175,아이고운힐C,제주특별자치도 제주시 오라삼동 2895-1,33.48812351,126.5030842,24시간,0,2
1187,제주고성LH 아파트,제주특별자치도 제주시 애월읍 고성리 1488-1,33.46607679,126.4107164,24시간,1,0
1169,아델리움,제주특별자치도 제주시 연동 1459,33.479925,126.4942012,24시간,0,1
1184,정원파인즈 10차,제주특별자치도 제주시 도남동 137-4,33.4882799,126.5283622,24시간,1,1
1196,제주으뜸마을LH 아파트,제주특별자치도 제주시 노형동 753,33.47824248,126.4815972,24시간,1,2
1172,아라아이파크,제주특별자치도 제주시 아라일동 6121,33.47582346,126.5506138,24시간,1,3
1198,제주정든마을3단지LH 아파트,제주특별자치도 제주시 노형동 2582-2,33.48948604,126.473277,24시간,1,1
1190,제주부영1차 아파트,제주특별자치도 제주시 노형동 732,33.48018127,126.4854263,24시간,1,1
1180,연동한일시티,제주특별자치도 제주시 연동 2325-7,33.49160042,126.4885492,24시간,1,2
1215,서귀포동홍3LH 아파트,제주특별자치도 서귀포시 동홍동 353-1,33.24982675,126.5739183,24시간  ※외부인 개방,1,2
1207,현일 아파트,제주특별자치도 제주시 삼도일동 796-15,33.50858885,126.5191082,24시간,0,0
1191,제주삼화1단지LH 아파트,제주특별자치도 제주시 화북일동 1002-1,33.51608123,126.5749238,24시간,1,3
1161,미듬아뜨리에 아파트,제주특별자치도 제주시 삼도이동 300-4,33.50499775,126.5228442,24시간,1,0
1155,노형2차부영 아파트,제주특별자치도 제주시 노형동 754-4,33.4769845,126.4846039,24시간,1,3
1162,방선문5차빌리지,제주특별자치도 제주시 아라일동 2216,33.47459205,126.5393618,24시간,0,2
1160,루온토빌리지,제주특별자치도 제주시 오라이동 1673,33.48007536,126.5068134,24시간,0,2
1210,강정상록 아파트,제주특별자치도 서귀포시 강정동 신서로 55,33.25490793,126.5047563,24시간  ※외부인 개방,1,1
1200,제주하귀휴먼시아1단지,제주특별자치도 제주시 애월읍 하귀1리 167,33.48258757,126.4164083,24시간,1,0
1216,아우룸숲,제주특별자치도 서귀포시 서홍동 홍중로 105,33.26177423,126.5551933,24시간  ※외부인 개방,0,1
1165,방선문3차빌리지,제주특별자치도 제주시 도남동 642-1,33.4862619,126.5257492,24시간,0,2
1164,방선문4차빌리지,제주특별자치도 제주시 도남동 629,33.48658743,126.5262357,24시간,0,2
